"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","STINT","TOT","PC_PA","Q","2002-Q2",3.446,
"BEL","STINT","TOT","PC_PA","Q","2002-Q3",3.357333,
"BEL","STINT","TOT","PC_PA","Q","2002-Q4",3.1088,
"BEL","STINT","TOT","PC_PA","Q","2003-Q1",2.6831,
"BEL","STINT","TOT","PC_PA","Q","2003-Q2",2.3619,
"BEL","STINT","TOT","PC_PA","Q","2003-Q3",2.139233,
"BEL","STINT","TOT","PC_PA","Q","2003-Q4",2.149633,
"BEL","STINT","TOT","PC_PA","Q","2004-Q1",2.062967,
"BEL","STINT","TOT","PC_PA","Q","2004-Q2",2.082467,
"BEL","STINT","TOT","PC_PA","Q","2004-Q3",2.1163,
"BEL","STINT","TOT","PC_PA","Q","2004-Q4",2.1636,
"BEL","STINT","TOT","PC_PA","Q","2005-Q1",2.140333,
"BEL","STINT","TOT","PC_PA","Q","2005-Q2",2.1246,
"BEL","STINT","TOT","PC_PA","Q","2005-Q3",2.130333,
"BEL","STINT","TOT","PC_PA","Q","2005-Q4",2.343467,
"BEL","STINT","TOT","PC_PA","Q","2006-Q1",2.611567,
"BEL","STINT","TOT","PC_PA","Q","2006-Q2",2.8895,
"BEL","STINT","TOT","PC_PA","Q","2006-Q3",3.221367,
"BEL","STINT","TOT","PC_PA","Q","2006-Q4",3.594467,
"BEL","STINT","TOT","PC_PA","Q","2007-Q1",3.820333,
"BEL","STINT","TOT","PC_PA","Q","2007-Q2",4.064833,
"BEL","STINT","TOT","PC_PA","Q","2007-Q3",4.5005,
"BEL","STINT","TOT","PC_PA","Q","2007-Q4",4.724767,
"BEL","STINT","TOT","PC_PA","Q","2008-Q1",4.48,
"BEL","STINT","TOT","PC_PA","Q","2008-Q2",4.860466,
"BEL","STINT","TOT","PC_PA","Q","2008-Q3",4.9818,
"BEL","STINT","TOT","PC_PA","Q","2008-Q4",4.214667,
"BEL","STINT","TOT","PC_PA","Q","2009-Q1",2.0117,
"BEL","STINT","TOT","PC_PA","Q","2009-Q2",1.310633,
"BEL","STINT","TOT","PC_PA","Q","2009-Q3",0.8692,
"BEL","STINT","TOT","PC_PA","Q","2009-Q4",0.7219,
"BEL","STINT","TOT","PC_PA","Q","2010-Q1",0.6621667,
"BEL","STINT","TOT","PC_PA","Q","2010-Q2",0.6862667,
"BEL","STINT","TOT","PC_PA","Q","2010-Q3",0.8749334,
"BEL","STINT","TOT","PC_PA","Q","2010-Q4",1.020467,
"BEL","STINT","TOT","PC_PA","Q","2011-Q1",1.093133,
"BEL","STINT","TOT","PC_PA","Q","2011-Q2",1.411633,
"BEL","STINT","TOT","PC_PA","Q","2011-Q3",1.562067,
"BEL","STINT","TOT","PC_PA","Q","2011-Q4",1.495567,
"BEL","STINT","TOT","PC_PA","Q","2012-Q1",1.043,
"BEL","STINT","TOT","PC_PA","Q","2012-Q2",0.6960334,
"BEL","STINT","TOT","PC_PA","Q","2012-Q3",0.3585667,
"BEL","STINT","TOT","PC_PA","Q","2012-Q4",0.1951333,
"BEL","STINT","TOT","PC_PA","Q","2013-Q1",0.2114667,
"BEL","STINT","TOT","PC_PA","Q","2013-Q2",0.2068,
"BEL","STINT","TOT","PC_PA","Q","2013-Q3",0.2235,
"BEL","STINT","TOT","PC_PA","Q","2013-Q4",0.2409,
"BEL","STINT","TOT","PC_PA","Q","2014-Q1",0.2951333,
"BEL","STINT","TOT","PC_PA","Q","2014-Q2",0.2985667,
"BEL","STINT","TOT","PC_PA","Q","2014-Q3",0.1645667,
"BEL","STINT","TOT","PC_PA","Q","2014-Q4",0.08146667,
"BEL","STINT","TOT","PC_PA","Q","2015-Q1",0.04603333,
"BEL","STINT","TOT","PC_PA","Q","2015-Q2",-0.006533334,
"BEL","STINT","TOT","PC_PA","Q","2015-Q3",-0.0278,
"BEL","STINT","TOT","PC_PA","Q","2015-Q4",-0.08916666,
"BEL","STINT","TOT","PC_PA","Q","2016-Q1",-0.1860667,
"BEL","STINT","TOT","PC_PA","Q","2016-Q2",-0.2581,
"BEL","STINT","TOT","PC_PA","Q","2016-Q3",-0.2981,
"BEL","STINT","TOT","PC_PA","Q","2016-Q4",-0.3125,
"BEL","STINT","TOT","PC_PA","Q","2017-Q1",-0.3278,
"BEL","STINT","TOT","PC_PA","Q","2017-Q2",-0.3299667,
"BEL","STINT","TOT","PC_PA","Q","2017-Q3",-0.3296333,
"BEL","STINT","TOT","PC_PA","Q","2017-Q4",-0.3288,
"BEL","STINT","TOT","PC_PA","Q","2018-Q1",-0.3283,
"BEL","STINT","TOT","PC_PA","Q","2018-Q2",-0.3252333,
"FIN","STINT","TOT","PC_PA","Q","2001-Q1",4.745033,
"FIN","STINT","TOT","PC_PA","Q","2001-Q2",4.590766,
"FIN","STINT","TOT","PC_PA","Q","2001-Q3",4.267833,
"FIN","STINT","TOT","PC_PA","Q","2001-Q4",3.4435,
"FIN","STINT","TOT","PC_PA","Q","2002-Q1",3.362233,
"FIN","STINT","TOT","PC_PA","Q","2002-Q2",3.446,
"FIN","STINT","TOT","PC_PA","Q","2002-Q3",3.357333,
"FIN","STINT","TOT","PC_PA","Q","2002-Q4",3.1088,
"FIN","STINT","TOT","PC_PA","Q","2003-Q1",2.6831,
"FIN","STINT","TOT","PC_PA","Q","2003-Q2",2.3619,
"FIN","STINT","TOT","PC_PA","Q","2003-Q3",2.139233,
"FIN","STINT","TOT","PC_PA","Q","2003-Q4",2.149633,
"FIN","STINT","TOT","PC_PA","Q","2004-Q1",2.062967,
"FIN","STINT","TOT","PC_PA","Q","2004-Q2",2.082467,
"FIN","STINT","TOT","PC_PA","Q","2004-Q3",2.1163,
"FIN","STINT","TOT","PC_PA","Q","2004-Q4",2.1636,
"FIN","STINT","TOT","PC_PA","Q","2005-Q1",2.140333,
"FIN","STINT","TOT","PC_PA","Q","2005-Q2",2.1246,
"FIN","STINT","TOT","PC_PA","Q","2005-Q3",2.130333,
"FIN","STINT","TOT","PC_PA","Q","2005-Q4",2.343467,
"FIN","STINT","TOT","PC_PA","Q","2006-Q1",2.611567,
"FIN","STINT","TOT","PC_PA","Q","2006-Q2",2.8895,
"FIN","STINT","TOT","PC_PA","Q","2006-Q3",3.221367,
"FIN","STINT","TOT","PC_PA","Q","2006-Q4",3.594467,
"FIN","STINT","TOT","PC_PA","Q","2007-Q1",3.820333,
"FIN","STINT","TOT","PC_PA","Q","2007-Q2",4.064833,
"FIN","STINT","TOT","PC_PA","Q","2007-Q3",4.5005,
"FIN","STINT","TOT","PC_PA","Q","2007-Q4",4.724767,
"FIN","STINT","TOT","PC_PA","Q","2008-Q1",4.48,
"FIN","STINT","TOT","PC_PA","Q","2008-Q2",4.860466,
"FIN","STINT","TOT","PC_PA","Q","2008-Q3",4.9818,
"FIN","STINT","TOT","PC_PA","Q","2008-Q4",4.214667,
"FIN","STINT","TOT","PC_PA","Q","2009-Q1",2.0117,
"FIN","STINT","TOT","PC_PA","Q","2009-Q2",1.310633,
"FIN","STINT","TOT","PC_PA","Q","2009-Q3",0.8692,
"FIN","STINT","TOT","PC_PA","Q","2009-Q4",0.7219,
"FIN","STINT","TOT","PC_PA","Q","2010-Q1",0.6621667,
"FIN","STINT","TOT","PC_PA","Q","2010-Q2",0.6862667,
"FIN","STINT","TOT","PC_PA","Q","2010-Q3",0.8749334,
"FIN","STINT","TOT","PC_PA","Q","2010-Q4",1.020467,
"FIN","STINT","TOT","PC_PA","Q","2011-Q1",1.093133,
"FIN","STINT","TOT","PC_PA","Q","2011-Q2",1.411633,
"FIN","STINT","TOT","PC_PA","Q","2011-Q3",1.562067,
"FIN","STINT","TOT","PC_PA","Q","2011-Q4",1.495567,
"FIN","STINT","TOT","PC_PA","Q","2012-Q1",1.043,
"FIN","STINT","TOT","PC_PA","Q","2012-Q2",0.6960334,
"FIN","STINT","TOT","PC_PA","Q","2012-Q3",0.3585667,
"FIN","STINT","TOT","PC_PA","Q","2012-Q4",0.1951333,
"FIN","STINT","TOT","PC_PA","Q","2013-Q1",0.2114667,
"FIN","STINT","TOT","PC_PA","Q","2013-Q2",0.2068,
"FIN","STINT","TOT","PC_PA","Q","2013-Q3",0.2235,
"FIN","STINT","TOT","PC_PA","Q","2013-Q4",0.2409,
"FIN","STINT","TOT","PC_PA","Q","2014-Q1",0.2951333,
"FIN","STINT","TOT","PC_PA","Q","2014-Q2",0.2985667,
"FIN","STINT","TOT","PC_PA","Q","2014-Q3",0.1645667,
"FIN","STINT","TOT","PC_PA","Q","2014-Q4",0.08146667,
"FIN","STINT","TOT","PC_PA","Q","2015-Q1",0.04603333,
"FIN","STINT","TOT","PC_PA","Q","2015-Q2",-0.006533334,
"FIN","STINT","TOT","PC_PA","Q","2015-Q3",-0.0278,
"FIN","STINT","TOT","PC_PA","Q","2015-Q4",-0.08916666,
"FIN","STINT","TOT","PC_PA","Q","2016-Q1",-0.1860667,
"FIN","STINT","TOT","PC_PA","Q","2016-Q2",-0.2581,
"FIN","STINT","TOT","PC_PA","Q","2016-Q3",-0.2981,
"FIN","STINT","TOT","PC_PA","Q","2016-Q4",-0.3125,
"FIN","STINT","TOT","PC_PA","Q","2017-Q1",-0.3278,
"FIN","STINT","TOT","PC_PA","Q","2017-Q2",-0.3299667,
"FIN","STINT","TOT","PC_PA","Q","2017-Q3",-0.3296333,
"FIN","STINT","TOT","PC_PA","Q","2017-Q4",-0.3288,
"FIN","STINT","TOT","PC_PA","Q","2018-Q1",-0.3283,
"FIN","STINT","TOT","PC_PA","Q","2018-Q2",-0.3252333,
"LUX","STINT","TOT","PC_PA","Q","2001-Q1",4.745033,
"LUX","STINT","TOT","PC_PA","Q","2001-Q2",4.590766,
"LUX","STINT","TOT","PC_PA","Q","2001-Q3",4.267833,
"LUX","STINT","TOT","PC_PA","Q","2001-Q4",3.4435,
"LUX","STINT","TOT","PC_PA","Q","2002-Q1",3.362233,
"LUX","STINT","TOT","PC_PA","Q","2002-Q2",3.446,
"LUX","STINT","TOT","PC_PA","Q","2002-Q3",3.357333,
"LUX","STINT","TOT","PC_PA","Q","2002-Q4",3.1088,
"LUX","STINT","TOT","PC_PA","Q","2003-Q1",2.6831,
"LUX","STINT","TOT","PC_PA","Q","2003-Q2",2.3619,
"LUX","STINT","TOT","PC_PA","Q","2003-Q3",2.139233,
"LUX","STINT","TOT","PC_PA","Q","2003-Q4",2.149633,
"LUX","STINT","TOT","PC_PA","Q","2004-Q1",2.062967,
"LUX","STINT","TOT","PC_PA","Q","2004-Q2",2.082467,
"LUX","STINT","TOT","PC_PA","Q","2004-Q3",2.1163,
"LUX","STINT","TOT","PC_PA","Q","2004-Q4",2.1636,
"LUX","STINT","TOT","PC_PA","Q","2005-Q1",2.140333,
"LUX","STINT","TOT","PC_PA","Q","2005-Q2",2.1246,
"LUX","STINT","TOT","PC_PA","Q","2005-Q3",2.130333,
"LUX","STINT","TOT","PC_PA","Q","2005-Q4",2.343467,
"LUX","STINT","TOT","PC_PA","Q","2006-Q1",2.611567,
"LUX","STINT","TOT","PC_PA","Q","2006-Q2",2.8895,
"LUX","STINT","TOT","PC_PA","Q","2006-Q3",3.221367,
"LUX","STINT","TOT","PC_PA","Q","2006-Q4",3.594467,
"LUX","STINT","TOT","PC_PA","Q","2007-Q1",3.820333,
"LUX","STINT","TOT","PC_PA","Q","2007-Q2",4.064833,
"LUX","STINT","TOT","PC_PA","Q","2007-Q3",4.5005,
"LUX","STINT","TOT","PC_PA","Q","2007-Q4",4.724767,
"LUX","STINT","TOT","PC_PA","Q","2008-Q1",4.48,
"LUX","STINT","TOT","PC_PA","Q","2008-Q2",4.860466,
"LUX","STINT","TOT","PC_PA","Q","2008-Q3",4.9818,
"LUX","STINT","TOT","PC_PA","Q","2008-Q4",4.214667,
"LUX","STINT","TOT","PC_PA","Q","2009-Q1",2.0117,
"LUX","STINT","TOT","PC_PA","Q","2009-Q2",1.310633,
"LUX","STINT","TOT","PC_PA","Q","2009-Q3",0.8692,
"LUX","STINT","TOT","PC_PA","Q","2009-Q4",0.7219,
"LUX","STINT","TOT","PC_PA","Q","2010-Q1",0.6621667,
"LUX","STINT","TOT","PC_PA","Q","2010-Q2",0.6862667,
"LUX","STINT","TOT","PC_PA","Q","2010-Q3",0.8749334,
"LUX","STINT","TOT","PC_PA","Q","2010-Q4",1.020467,
"LUX","STINT","TOT","PC_PA","Q","2011-Q1",1.093133,
"LUX","STINT","TOT","PC_PA","Q","2011-Q2",1.411633,
"LUX","STINT","TOT","PC_PA","Q","2011-Q3",1.562067,
"LUX","STINT","TOT","PC_PA","Q","2011-Q4",1.495567,
"LUX","STINT","TOT","PC_PA","Q","2012-Q1",1.043,
"LUX","STINT","TOT","PC_PA","Q","2012-Q2",0.6960334,
"LUX","STINT","TOT","PC_PA","Q","2012-Q3",0.3585667,
"LUX","STINT","TOT","PC_PA","Q","2012-Q4",0.1951333,
"LUX","STINT","TOT","PC_PA","Q","2013-Q1",0.2114667,
"LUX","STINT","TOT","PC_PA","Q","2013-Q2",0.2068,
"LUX","STINT","TOT","PC_PA","Q","2013-Q3",0.2235,
"LUX","STINT","TOT","PC_PA","Q","2013-Q4",0.2409,
"LUX","STINT","TOT","PC_PA","Q","2014-Q1",0.2951333,
